"geneSymbol","disease_merge"
"ABCA1","Tangier Disease"
"ABCA1","Hypoalphalipoproteinemia"
"ABCA1","Colorectal Cancer"
"ABCA1","Allergic rhinitis"
"ABCA1","Arteriosclerosis"
"ABCA1","Macular Degeneration"
"ABCA1","Atherosclerosis"
"ABCA1","Hypercholesterolemia"
"ABCA1","Metabolic Syndrome X"
"ABCA1","Genetic Diseases"
"ABCA1","Geographic Atrophy"
"ABCA1","Coronary heart disease"
"ABCA1","Hyperlipoproteinemia"
"ABCA1","Neuropathy"
"ABCA1","Kidney Failure"
"ABCA1","Schizophrenia"
"ABCA1","Tangier Disease Neuropathy"
"ABCA1","Gout"
"ACACA","Heart Failure"
"ACACA","Liver Cancer"
"ACACA","Celiac Disease"
"ACACA","Myocardial Failure"
"ACE","Alzheimer Disease"
"ACE","Mental Depression"
"ACE","Cerebral Ischemia"
"ACE","Glomerulosclerosis"
"ACE","Schizophrenia"
"ACE","Myocardial Infarction"
"ACE","Senile Dementia"
"ACE","Liver Cancer"
"ACE","Cribriform Carcinoma"
"ACE","Autistic Disorder"
"ACE","Glomerulonephritis"
"ACE","Diabetic Nephropathy"
"ACE","Adenocarcinoma"
"ACE","Stroke"
"ACE","Coronary heart disease"
"ACE","Heart Failure"
"ACE","Gaucher Disease"
"ACE","Non-alcoholic Fatty Liver Disease"
"ACE","Prostate cancer"
"ACE","Kidney Failure"
"ACE","Bipolar Disorder"
"ACE","Arteriosclerosis"
"ACE","Hypertensive disease"
"ACE","Stomach Cancer"
"ACE","Male infertility"
"ACE","Carcinoma"
"ACE","Respiratory Distress Syndrome"
"ACE","Kidney Insufficiency"
"ACE","Allanson Pantzar McLeod syndrome"
"ACE","Lung Cancer"
"ACE","Gastric Cancer"
"ACE","Atrial Fibrillation"
"ACE","Renal Tubular Dysgenesis With Choanal Atresia And Athelia"
"ACE","Beryllium Disease"
"ACE","Left Ventricular Hypertrophy"
"ACE","Coronary Restenosis"
"ACE","Myocardial Failure"
